幢号,房号,面积（m²）
1幢,202,109.13
1幢,203,136.78
1幢,301,136.66
1幢,302,109.13
1幢,303,136.78
1幢,402,109.13
1幢,502,109.13
1幢,503,136.78
1幢,601,136.66
1幢,603,136.78
1幢,801,136.66
1幢,803,136.78
1幢,902,109.13
1幢,1001,136.66
1幢,1002,109.13
1幢,1003,136.78
1幢,1101,136.66
1幢,1102,109.13
1幢,1201,136.66
2幢,301,136.77
2幢,302,109.22
2幢,303,136.88
2幢,501,136.77
2幢,503,136.88
2幢,601,136.77
2幢,701,136.77
2幢,802,109.22
2幢,803,136.88
2幢,901,136.77
2幢,902,109.22
2幢,1001,136.77
2幢,1002,109.22
2幢,1003,136.88
2幢,1201,136.77
3幢,201,122.47
3幢,302,111.36
3幢,303,111.36
3幢,401,122.47
3幢,501,122.47
3幢,502,111.36
3幢,503,111.36
3幢,504,122.47
3幢,601,122.47
3幢,603,111.36
3幢,604,122.47
3幢,703,111.36
3幢,704,122.47
3幢,803,111.36
3幢,804,122.47
3幢,901,122.47
3幢,902,111.36
3幢,903,111.36
3幢,1003,111.36
3幢,1101,122.47
3幢,1302,111.36
3幢,1403,111.36
3幢,1404,122.47
3幢,1501,122.47
3幢,1503,111.36
3幢,1504,122.47
3幢,1602,111.36
3幢,1604,122.47
3幢,1801,122.47
3幢,1804,122.47
4幢,303,110.15
4幢,403,110.15
4幢,404,124.31
4幢,501,124.31
4幢,502,110.15
4幢,503,110.15
4幢,504,124.31
4幢,704,124.31
4幢,801,124.31
4幢,804,124.31
4幢,901,124.31
4幢,904,124.31
4幢,1001,124.31
4幢,1004,124.31
4幢,1101,124.31
4幢,1102,110.15
4幢,1104,124.31
4幢,1201,124.31
4幢,1203,110.15
4幢,1204,124.31
4幢,1301,124.31
4幢,1304,124.31
4幢,1401,124.31
4幢,1501,124.31
4幢,1503,110.15
4幢,1603,110.15
4幢,1701,124.31
4幢,1704,124.31
4幢,1802,110.15
4幢,1803,110.15
4幢,1804,124.31
5幢,202,132.89
5幢,302,132.89
5幢,501,132.89
5幢,701,132.89
5幢,801,132.89
5幢,802,132.89
5幢,901,132.89
5幢,1101,132.89
5幢,1102,132.89
5幢,1201,132.89
5幢,1301,132.89
5幢,1401,132.89
5幢,1402,132.89
5幢,1601,132.89
5幢,1602,132.89
6幢,202,139.81
6幢,402,139.81
6幢,501,139.51
6幢,502,139.81
6幢,702,139.81
6幢,801,139.51
6幢,901,139.51
6幢,1001,139.51
6幢,1102,139.81
6幢,1201,139.51
6幢,1202,139.81
7幢,302,132.7
7幢,401,132.7
7幢,501,132.7
7幢,602,132.7
7幢,701,132.7
7幢,702,132.7
7幢,801,132.7
7幢,901,132.7
7幢,902,132.7
7幢,1202,132.7
7幢,1302,132.7
7幢,1402,132.7
7幢,1501,132.7
7幢,1502,132.7
7幢,1602,132.7
7幢,1701,132.7
7幢,1702,132.7
8幢,202,132.74
8幢,301,132.74
8幢,401,132.74
8幢,402,132.74
8幢,801,132.74
8幢,902,132.74
8幢,1002,132.74
8幢,1101,132.74
8幢,1102,132.74
8幢,1201,132.74
8幢,1302,132.74
8幢,1401,132.74
8幢,1502,132.74
8幢,1602,132.74
8幢,1702,132.74
9幢,201,116.57
9幢,203,139.18
9幢,303,139.18
9幢,304,116.67
9幢,401,116.57
9幢,404,116.67
9幢,504,116.67
9幢,601,116.57
9幢,604,116.67
9幢,701,116.57
9幢,702,139.07
9幢,703,139.18
9幢,704,116.67
9幢,803,139.18
9幢,901,116.57
9幢,902,139.07
9幢,1003,139.18
9幢,1004,116.67
9幢,1101,116.57
9幢,1103,139.18
9幢,1104,116.67
9幢,1201,116.57
9幢,1203,139.18
9幢,1301,116.57
9幢,1302,139.07
9幢,1303,139.18
9幢,1304,116.67
9幢,1403,139.18
9幢,1404,116.67
9幢,1501,116.57
9幢,1502,139.07
9幢,1503,139.18